year,congress,party,district,statenam,name,ngirls,nboys,totchi,anygirls,propgirls,rgroup,statabb,statalph,region,repub,srvlng,female,white,bday,age,demvote,medinc,perf,perw,perhs,percol,perur,alabort,moreserv,moredef,morecrimesp,protgay,dr1per,dr2per,dr3per,dr4per,dr5per,aauw,rtl,nowtot,now1,now2,now3,now4,now5,now6,now7,now8,now9,now10,now11,now12,now13,now14,now15,now16,now17,now18,now19,now20
1997-1998,105,1,5,TENNESS,"CLEMENT, ROBERT N.",2,2,4,1,0.5,1,TN,43,6,0,10,0,1,9/23/43,53,0.550000012,34396,0.535228908,0.753879786,0.75,0.232999995,0.952231944,0.32661289,0.35164836,0.247706428,0.634920657,0.506756783,0.75999999,0.059999999,0,0.029999999,0.140000001,75,45,70,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1
1997-1998,105,1,6,SOUTH C,"CLYBURN, JAMES E.",3,0,3,1,1,1,SC,41,5,0,5,0,0,7/21/40,56,0.649999976,22973,0.542868078,0.372686148,0.592000008,0.113999993,0.489474624,0.428571433,0,0,0.642857134,0.727272749,0.779999971,0.07,0.01,0.029999999,0.100000001,100,5,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,2,6,NORTH C,"COBLE, HOWARD",0,0,0,0,0,1,NC,34,5,1,13,0,1,3/18/31,65,0.330000013,35953,0.523728311,0.913247108,0.720999956,0.189999998,0.471546113,0.270491809,0.445945948,0.20408164,0.75,0.662500024,0.689999998,0.100000001,0.01,0.050000001,0.150000006,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,2,2,OKLAHOM,"COBURN, THOMAS A.",3,0,3,1,1,1,OK,37,7,1,3,0,1,3/14/48,48,0.469999999,24808,0.523528755,0.771016121,0.67900002,0.116000004,0.374052018,0.285714298,0,0.142857149,0.571428597,0.714285731,0.709999979,0.07,0,0.029999999,0.189999998,0,100,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997-1998,105,2,3,GEORGIA,"COLLINS, MICHAEL A. (MAC)",2,2,4,1,0.5,1,GA,11,5,1,5,0,1,10/14/44,52,0.419999987,36742,0.525654316,0.803274989,0.716999948,0.155000001,0.564850628,0.346153855,0.447272718,0.252427191,0.627027035,0.631578922,0.689999998,0.079999998,0.02,0.050000001,0.159999996,13,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997-1998,105,2,19,TEXAS,"COMBEST, LARRY E.",1,1,2,1,0.5,1,TX,44,7,1,13,0,1,3/20/45,51,0.25999999,32227,0.518011093,0.860993207,0.75999999,0.207999989,0.815387011,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,18,CALIFOR,"CONDIT, GARY A.",1,1,2,1,0.5,1,CA,5,9,0,8,0,1,4/20/48,48,0.460000008,31574,0.506511152,0.757198632,0.664000034,0.125,0.807948291,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,63,40,55,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1
1997-1998,105,1,14,MICHIGA,"CONYERS, JOHN, JR.",0,2,2,0,0,1,MI,23,3,0,33,0,0,5/16/29,67,0.860000014,28875,0.557708144,0.292405963,0.691999972,0.125,1,0.388261855,0.336182326,0.233830839,0.648351669,0.615686297,0.529999971,0.230000004,0.01,0.059999999,0.189999998,100,5,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,2,2,UTAH,"COOK, MERRILL A.",3,2,5,1,0.600000024,3,UT,45,8,1,1,0,1,5/6/46,50,0.409999996,36350,0.513220489,0.943661273,0.874000013,0.270999998,0.996736586,0.456521749,0.5,0.151162788,0.380434781,0.733333349,0.119999997,0.059999999,0.569999993,0.039999999,0.209999993,0,90,15,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,2,5,LOUISIA,"COOKSEY, JOHN CHARLES",3,0,3,1,1,1,LA,19,7,1,1,0,1,4/20/41,55,0.479999989,27817,0.534038424,0.768340588,0.729000032,0.174999997,0.565097809,0.18699187,0.397260278,0.50515461,0.724409461,0.493670881,0.519999981,0.280000001,0,0.029999999,0.150000006,13,95,15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
